Query,URI,Title,Definition,Synonyms,Parent_URI,Children
Swamp,http://id.who.int/icd/entity/751399056,Leptospirosis,"A disease caused by an infection with the gram-negative bacteria Leptospira. In the first phase, this disease is characterised by generalised illness (fever, chills, or myalgias) or individuals may be asymptomatic; in the second phase, the heart, liver, kidneys, or brain may be affected by the infection (symptoms are dependent on the site affected). Transmission is by ingestion of contaminated food or water, droplet transmission, or direct cutaneous contact. Confirmation is by identification of Leptospira in samples from the affected individual.",Nanukayami disease; Nanukayami fever; seven-day fever; EIA - [equine infectious anaemia]; mud fever; swamp fever,,[]
Swamp,http://id.who.int/icd/entity/1183588196,"Body of water, swamp, marsh, estuary",,,,[]
Swamp,http://id.who.int/icd/entity/1562822130,Hovercraft operating on land or swamp as counterpart in land transport crash,,,,[]
Swamp,http://id.who.int/icd/entity/558597499,Hovercraft operating on land or swamp as mode of transport of person injured in transport related event,,,,[]
Mine,http://id.who.int/icd/entity/1839509209,Mine or quarry,,stone quarries,,[]
Mine,http://id.who.int/icd/entity/1683201114,Coal-car in mine,,,,[]
Mine,http://id.who.int/icd/entity/1236566458,"Economic activity, mining, quarrying, or extraction",,,,[]
Mine,http://id.who.int/icd/entity/802843546,"Tram, truck, or tub in mine or quarry",,,,[]
Mine,http://id.who.int/icd/entity/1440647483,Explosion of mine after cessation of armed conflict,,,,[]
Mine,http://id.who.int/icd/entity/171818674,Explosion of depth-charge or marine mine during armed conflict,,,,[]
Tunnel,http://id.who.int/icd/entity/652000933,Necatoriasis,"A disease caused by an infection with the parasitic worm Necator americanus. This disease is characterised by pruritus at the site of larval penetration. In mild infections, this disease may be asymptomatic; in moderate to severe infections, this disease may present with cough, pharyngeal irritation during larval migration in airways, iron-deficiency anaemia, abdominal pain, nausea, arthralgia, or delayed development (mental or physical). Transmission is by direct contact with larvae from soil or sand contaminated with dog or cat faeces (by percutaneous migration of larvae). Confirmation is by identification of Necator americanus in a faecal sample.",miner's anaemia; negro cachexia; dochmiasis; ground itch disease; brickmaker's chlorosis; coolie itch anaemia; cachexia aquosa; dew itch anaemia; brickmaker's anaemia; tunnel worker's anaemia; Egyptian anaemia; tunnel worker's disease; miner's cachexia; Greisinger disease; tropical chlorosis; Egyptian chlorosis; tunnel anaemia; dochmiosis; necatorosis; African cachexia; water itch anaemia; Infection due to Necator americanus; St Gotthard disease; Gotthard tunnel disease,,[]
Tunnel,http://id.who.int/icd/entity/1456103224,Carpal tunnel,,Carpal Canal,,[]
Tunnel,http://id.who.int/icd/entity/1275186848,Carpal tunnel syndrome,A compression neuropathy due to entrapment of the median nerve within the carpal tunnel at the wrist.,,,[]
Tunnel,http://id.who.int/icd/entity/854657246,Tarsal tunnel syndrome,,Compression of posterior tibial nerve in tarsal tunnel,,[]
Tunnel,http://id.who.int/icd/entity/470594532,Aortoventricular tunnel,A congenital cardiovascular malformation in which there is a paravalvar communication between the aorta and a ventricle.,ventriculo-aortic tunnel; aortico-ventricular tunnel; aorto-ventricular tunnel,,[]
